name,text,,,
organization_and_governance_structure_3,"The bank organizational structure reflect a ""Adhocracy"" where
action is privileged. 
Agile digital banks deliberately choose which dimension of their organizational structure will be their “primary” one. This choice will dictate where individual employees work (where they are likely to receive coaching and training) and where the infrastructure around their jobs is located. 
Day-to-day work, performance measurement, and the determination of rewards happen in teams that cut across formal structures. The primary home of employees remains an anchor along their career paths, while the crosscutting teams form, dissolve, and re-form as resources shift in response to market demands. Sometimes these dynamic teams show up in the org chart, typically in the form of business lines, market segments, or product units.
People's motivation centers on giving people a challenge and providing the resources and freedom they need to surmount it",,,
organization_and_governance_hr_function_1,"Job profiles are not adapted to new/changing organization.
Dedicated training is not yet developed.
HR can’t support talent recruitment and retention.",,,
organization_and_governance_hr_function_2,"Job profiles exist and some specific training is developed or in place. There is not yet a creer path or framework, but it is under development. There is a strategy/ability to attract and retain the right talent.",,,
organization_and_governance_hr_function_3,HR has developed dedicated training. Job profiles exist for job positions. There is a career framework and a career path. There is a strategy to attract and retain the right talent.,,,
organization_and_governance_governance_1,"When decisions require collaboration, governance committees bring together business leaders to share information and to review proposals coming up from the business units.
Analysis paralysis is common place (gathering more and more information rather than making a decision), endless debate, and a bias toward rational, scientific evidence at the expense of intuition or gut feel biasses decision making",,,
organization_and_governance_governance_2,"Digital agenda is delegated to ""digital experts"" within the organization. 
Decisions are empowered more to individuals, sometimes individuals leverage from data analitycs to make decisions but many times are based on intution when the field is an uncharted territory.
Decisions are made through argument and discussion, and everyone is entitled to weigh in with a point of view but decisions are taken helping the bank to avoid analysis paralysis.
At the executive level, attention is focused; people are not distracted; and the data are impeccable thus decisions are not unduly delayed due to ""governance"" and policies",,,
organization_and_governance_governance_3,"The digital agenda is owned by CEO and Board of Directors. Decisions are clasiffied into those best made in committees, which can be delegated to direct reports and which can be delegated to people close to the day-to-day action. furthermore, management decisions are improved as algorithms crunch big data from social technologies or the Internet of Things coupled with other point-of-contact data.
The full digital bank cater for flexible forms of governance, so they can be created and closed down very quickly, according
to the nature of the opportunity. 
By emphasizing experimentation, motivation, and urgency, the governance of a true digital bank provides a necessary complement to progress in advanced analytics and in machine learning, which automates decisions previously made through more bureaucratic approaches.
Decision makers are deeply immersed in the flow of a project or a business rather than more removed from it.",,,
partnerships_fintechs_1,"""APIs are not opened and no middleware is in place.
No ability to connect with FinTechs, other that through the core banking system.
Limited awareness of FinTech market developments and technological solutions.
Innovative concepts are tested only on an ad hoc basis""",,,
partnerships_fintechs_2,FinTechs are not yet connected or there are limited partnership with FinTechs. They have a plan to develop middleware or open APIs to be able to connect with FinTechs. Actively monitor the market and have some knowledge of market developments and technological solutions. Ability to test new concepts is not yet fully developed.,,,
partnerships_fintechs_3,"There is a middleware in place or open APIs
FinTechs can be connected 
There is an innovation lab or process to test emerging technologies/concepts.
They actively monitor the FinTech evolution and are knowledgable of market developments and technological solutions.",,,
partnerships_bigtechs_1,"No concrete opportunities have been pursued. No discussions with Big Techs are underway.
Big Data & Analytics is under development.",,,
partnerships_bigtechs_2,"They recognize the opportunity and early stage discussions are underway.
Some capacity for Big Data & Analytics.",,,
partnerships_bigtechs_3,"Alliances and business opportunities have been developed with Big Techs.
Systems are integrated. Big Data & Analytics capacity is in place.",,,
partnerships_regtechs_1,"No concrete opportunities have been pursued. No discussions with RegTechs are underway.
The Bank still rely on manual processing for any compliance documentation such as KYC forms, AML checks, CFT processing, etc; Likewise, the bank relies on manual processing of regulation/supervisory impacted processes; no automation of processes impacted by supervisor ""guidelines""; no capacity to automate consumer protection activities impacting service delivery; there is no capacity to collect, use and analize policy data;
The Bank is not taking part in any ""Regulatory Sandbox"" (if permitted in the country) to test new processess under a more agile regulatory environment.",,,
partnerships_regtechs_2,"The Bank recognizes the opportunity for RegTechs and early stage discussions are underway.
The Bank starts to automate compliance documentation such as KYC forms, AML checks, CFT processing, etc; The bank relies less on manual processing of regulation/supervisory impacted processes; there is som degree of automation of processes impacted by supervisor ""guidelines""; there is capacity to automate consumer protection activities impacting service delivery; there is capacity to collect, use and analize policy data;
The Bank is now taking part in a ""Regulatory Sandbox"" (if permitted in the country)  to test new processess under a more agile regulatory environment.",,,
partnerships_regtechs_3,"Alliances and business opportunities have been developed with RegTechs, allowing the Bank to significantly reduce spending in compliance documentation. 
All processess involving compliance, customer service, supervisory, policies/guidelines documents impacting service delivery are now fully automated; Systems are integrated; RegTech capacity is in place.
The Bank takes part in a ""Regulatory Sandbox"" (if permitted in the country)  testing new processess in a more agile regulatory environment and providing active feedback to regulator.",,,
partnerships_maturity_of_ecosystem_partners_1,"The Bank does not have effective partnerships in the digital ecosystem.
The digital solution of the Bank is largely closed-loop, with little additional services through other ecosystem partners. 
There are no APIs for access into the Bank’s payment system. 


",,,
partnerships_maturity_of_ecosystem_partners_2,"The Bank has some additional products through development of the digital ecosystem. The products are limited to billing capabilities. 
There may be some API capability to allow easier access to other parties in the payment ecosystem. 



",,,
partnerships_maturity_of_ecosystem_partners_3,"The Bank has highly leveraged the digital ecosystem to provide customers with multiple products including seamless ATM access, POS acceptance through various technologies (e.g. NFC, etc) multiple billers, integration with social media apps (e.g. Facebook connect, etc)
Ecosystem partners see significant benefit in partnering with the FSP, to the extent that they lobby the FSP for easier access through APIs or similar. 



",,,
products_customer_journey_1,"Customer touch points are limited to branch, call center and some not-feature rich interaction in the website. No mobile offering as yet.
The Bank does exploit any prior action from potential customers browsing the website, the prospect identity is never capture prior to account opening losing a great deal of data.
The account opening process, which is the first step as customer, is cumbersome. New-account-opening form fields may range from 30 up to 45 fields, yet this could be reduced  to just 15 fields and pre-populated 10 of them from external data sources that are not exploited. The Bank does not run focus groups to ask prospects or customers who to better open a bank account or interact with them. 
There is no customer journey view: registration, interaction, cross-selling, pre-attrition and win-back",,,
products_customer_journey_2,"Customer touch points are: branch, call center, website and mobile. There is however not a full customer-touch point view and information may not be fully integrated or if so it may not be real time.
The Bank exploit any prior action from potential customers browsing the website, the prospect identity is capture prior to account opening losing a great deal of data.
The account opening process is flawless. New-account-opening form fields may range from 25 up to 30 fields and there is limited pre-populated fields from prior web interactions but not from external data from other partners  that are not exploited. The Bank run focus groups to ask prospects or customers who to better open a bank account or interact with them. 
There is customer journey view: registration, interaction, cross-selling, pre-attrition and win-back. Furthermore, the Bank has taken some important actions such as:
- Understand how customers navigate across the touchpoints as they move through the journey.
- Anticipate the customer’s needs, expectations, and desires during each part of the journey.",,,
products_customer_journey_3,"Customer touch points are: branch, call center, website, mobile and other partners. All touch points are seamlessly integrated real time allowing a a full 360º customer-touch point view.
The Bank exploit any prior action from potential customers browsing the website, the prospect identity is capture prior to account opening losing a great deal of data.
The account opening process is flawless. New-account-opening form fields are very limited and there is pre-populated fields from prior web interactions and from external data from other partners  that are exploited. The Bank redesign customer facing touch points processes following agile methodologies and zero-based design proess techniques.
There is customer journey view: registration, interaction, cross-selling, pre-attrition and win-back and predictive analysis allows the Bank to offer the best customer experience.
The Bank really master the customer journey touchpoints as:
- Step back and identify the nature of the journeys customers take—from the customer’s point of view.
- Build an understanding of what is working and what is not.
- Set priorities for the most important gaps and opportunities to improve the journey.
- Come to grips with fixing root-cause issues and redesigning the journeys for a better end-to-end experience.

",,,
products_range_of_products_1,"Products are limited to current/savings account, cards, basic payments (ATMs, POS, Internet)",,,
products_range_of_products_2,"Products are more developed: consumer credit, line of credit for SMEs and corporates, mortages",,,
products_range_of_products_3,"Full bancassurance product suite including integration with other business areas: insurance (life, accident, car, property), leasing, renting, investment (investment/pension funds), broker (shares, bonds, international capital markets)",,,
products_product_pricing_1,"Only anchor products are free of charge, like a current account if direct deposit of salary exists and one debit card per customer, free interest for purchases up to three months, free deposit and withdrawal of money in ATM of the Bank's network",,,
products_product_pricing_2,Customers are offered a kind of a flat fee / commission for main banking products. ATM's deposits and withdrawal enjoy a low commission when done in another bank's network,,,
products_product_pricing_3,"A true no commission policy is implemented: free cards, free checks cash in, free transfrers, free account maintenance, free cash withdrawal at Bank's networ and very low fee from other bank's ATM networks, free anti fraud protection. 
The Bank wants to become a ""game-changer"" in the way prices are set in Financial Services",,,
products_product_development_and_open_innovation_1,"Products are launched ad hoc, with no process for gathering data from research, testing of products or analysis of results. 
Existing products are not managed or priced correctly. There is no product committees operating within the business and decisions on products are made without engagement of critical areas such as sales, operations or technology. 

",,,
products_product_development_and_open_innovation_2,"Limited market research is undertaken to develop new products, and there is some appreciation of the need for process. 
A product committee exists in the business, and the interdependence of new products with support areas in the business is understood. 
The Bank has Open APIs to allow innovation from third parties but rarely participates in Open Innovation forums nor plays a proactive approach in seeking for latests innovations in Financial Services.

",,,
products_product_development_and_open_innovation_3,"The integration of product development and IT operations enable the bank to develop innovative new product features.
The product lifecycle is no longer divided into 5 or 6 yearly releases but on biweekly product releases with a ""trail and error"" mode.
Product innovation is done by ""squads"" of people drawn from operations, sales, finance and marketing, and products are launched in accordance with ""agile methodology"" with multidisciplinar teams working together in the same room until product is released. ""Squads"" are assembled on a case-by-case basis
There are specific ""trend spotters"" to screen customer's unprompted needs. 
The Bank has Open APIs to allow innovation from third parties and actively participates in Open Innovation forums where it plays a proactive approach in seeking for latests innovations in Financial Services.

",,,
marketing_customer_insights_1,"The Bank does not conduct customer demand market research, the needs or customer satifaction knowledge is based on informal questioning to customers at the branch. There is no established process to understand the digital needs of customers.
There is no competitive analysis done ad hoc, but rather, the Bank relies on ""off the shelf"" studies conducted by the industry bodies",,,
marketing_customer_insights_2,"There are customer demand market research studies, the needs or customer satifaction are based on studies commissioned from time to time.
There is competitive analysis done ad hoc.",,,
marketing_customer_insights_3,"All customer needs and customer satisfaction are made on a regular basis using formally commissioned studies but also systematically scouting social networks, blogs, etc to pulse the market real time.",,,
marketing_communications_1,"The bank's communication campaigns use traditional mass media only (TV, press, radio).
Communication messages are around ""hard"" product features: interest rates, commissions, product characteristics like term or absence of collateral, ""no frills"", etc",,,
marketing_communications_2,"The bank's communication campaigns use a mix of traditional mass media (TV, press, radio) and offline events to promote the brand and some social media like facebook campaign
Communication messages are around ""hard"" and also ""soft"" product features focusing on the emotional /sticky character of the service: personlisation, no commission, simplified processess, ""we simplify your life"", ""we allow you to get the most out of your money"", etc.
The visuals of the campaign are somewhat ""rule-breakers"" of traditional communications",,,
marketing_communications_3,"The bank's communication campaigns use a mainly digital means from m-marketing, to viral marketing using whatsapp, facebook, community events online, gammification to promote the brand including word-of-mouth rewards.
Communication messages are around the brand, it focuses more on values of the brand than on the banking and insurane products being offered: messages around ""honesty"", ""always close"", ""we never let you down"", ""we grow with you"" are common. 
Campaigns are sometimes commonly developed with selected customers and non-customers to get the pulse of the market.
The campaigns may use non banking related instituions like a museum, online market place or a philarmonic orchestra to promote the brand
The use of teasers before the name of the brand is unveiled is profoundly used
Twitter and Facebook are heavily used to promote the brand
The use of brand ambassadors, bloggers and other online characters are used to defend the reputation of the brand",,,
marketing_marketing_maturity_1,"The business does not have a marketing plan, and there is no individual solely appointed to act as marketing manager. 
Marketing personnel is not involved in any product design or pricing, they only get product specs and then they produce marketing campaigns or product leaflets
Marketing, when done, does not successfully highlight the benefits of the products, and is there is no causative link between marketing activities and business performance. 
Marketing is managed in house, without involvement of external experts. Marketing lacks digital marketing capabilities



",,,
marketing_marketing_maturity_2,"There is a marketing function within the business, and marketing is seen as an important element of success. 
Marketing personnel are involved in product and pricing squads in certain occasions. There are identifiable benefits from marketing activities, including a deep understanding of social media and digital marketing
Marketing is done as a mix of above and below the line activities, and focuses on educating customers on product benefits and usage. 
Marketing activities are assisted by a professional agency, and work is of a reasonable standard. 



",,,
marketing_marketing_maturity_3,"Product marketing changes the shift from product marketing to customer journey and omnichannels. Marketing personnel is always part of the product definition ""squads"".
All digital solutions are tested through ""prototype cycles"" 
Marketing is a highly developed function that is critical to the performance of the business. 
The marketing Manager focuses on customer experience and has market orientation, business acumen, technical skills, soft skills, and is a key organizational enablers.
The organization is assisted by innovative digital marketing agencies that develops high quality digital communication campaigns in support of the brand and proposition. 



",,,
distribution_and_channels_strategy_and_organization_1,"There is no dedicated sales function. Customers are acquired ad hoc through agents, or through existing branches, no other channels are devised such as remote onboarding through call center, apps or website
There is no omnichannel strategy in place for customer acquisition, or driving sales growth.
There is not an effective sales culture in the organization. 
",,,
distribution_and_channels_strategy_and_organization_2,"There is an omnichannel sales strategy in place that leverages multiple channels for customer growth, including agents,  existing branches, virtual branches, including remote onboarding through call center, apps or website
There is a sales organization in place, with a head of sales, and sales team members responsible for management of various channels. 
The organization, whilst focused on sales, could see improvements to the sales culture. 
",,,
distribution_and_channels_strategy_and_organization_3,"The omnichannel sales strategy is well developed, and leverages partnerships or third party arrangements to drive customer sales.
The organization has an effective sales function, with sales being the primary focus of all functions in the business, including operations and the call centre. 
There is a strong sales culture in the organization.  
",,,
distribution_and_channels_physical_network_1,"The branch still has a old-fashioned look and feel.
The branch equipment does not include latest technologies such as flat screens, tablets and only a tiny part of floor area is dedicated to front line banking operations.
Cashier is still behind a glass marking a distance with customers.
The branch employees still sits behind a desk with customers in front. They are typically especialised by operations.

The breadth of the branch network is not enough, primarily being based on major cities in the market. ATMs are not located in strategic spots.
Selection of new branch locations is ad hoc, with no analysis of geographic data or ancillary businesses in the area. 

",,,
distribution_and_channels_physical_network_2,"The branch now has a modern look and feel (usually minimalistic - with low ornamentation and functional furniture)
The branch equipment include latest technologies such as flat screens, tablets and most of floor area dedicated to front line banking operations.
Cashier are replaced by 2nd generation ATMs that allow both deposits and withdrawal of money and are more interactive.
The branch employees now sits side-by-side with customers explaining operations and all branch employees can perform most of bank operations.

The branch network is geographically more diverse, with an even spread between urban and semiurban locations reflecting customer presence. 
Branch locations are selected with some analysis, with the use of geographic data where available to aid selection and development of branch networks. 
Flagship Branch locations are of high quality, with high foot traffic and high profile branding so that customers can clearly identify the Branch



",,,
distribution_and_channels_physical_network_3,"The branch does not look like a bank but rather a cool outlet.
The branch equipment include latest technologies such as flat screens, tablets, voice/face/iris recognition for customer ID and most of floor area dedicated to front line banking operations.
There may not be ATMs as transactions are conducted cashless and employees only go to branches to seek for complex banking services advice (not transaction related)
The branch employees now sits side-by-side with customers explaining operations and all branch employees can perform most of bank operations.

The branch is ubiquitous, covering many different rural and semiurban locations, providing the ability for customers of the Bank to conduct transactions wherever they may need to travel throughout the market. 
New branch locations are carefully assessed against other agents in the area to ensure that agent economics can be maintained where possible.
Different branch types (flagships, regular branches and pop-up branches) may perform different tasks per customer segment. 




",,,
distribution_and_channels_apps_webs_and_agents_1,"Apps: only one app limited to ""basic"" product features like: account balance, tranfers, credit /debit card, online payment, demand subscription of new product.

Web: The look and feel of the web is not very sophisticated, too much text and little multimedia gadgets.
There is no possibility to conduct KYC process through the website.
The product range being offered is limited to ""basic"" products: subscribe an account, ask for checks, ask for card, transfers, check balance, pay bills, product simulator.

Agents: the Bank also uses agents but the agents still rely on paper forms to onboard customers and to service them.",,,
distribution_and_channels_apps_webs_and_agents_2,"Apps: videochat, notification, access to private site, activation/deactivation of e-token, biometric features like facial recognisition or finger print authentication, allow contactless payment through mobile device.

Web: The look and feel of the web is somewhat sophisticated with a ""fresher design"", with some multimedia gadgets: for instance video tutorials. Possibility to conduct some KYC steps through the website (sending some documents but the authorisation take a few days). The product range being offered allow more advance product range: chat, private site, status of credit, credit payments, investments, expense organiser (PFM 1st Generation), posibility to pay taxes, social marketing features: linkedIn microsite, facebook microsite, twitter and instagram presence.

Agents: the Bank uses agents who work with digital means such as Pads/ smartphones but they have restricted functionalities",,,
distribution_and_channels_apps_webs_and_agents_3,"Apps: easy sign in to operate, site fully customised to cater for mobile device, some advance features such as PFM, robo-advisor, integration with personal banker and contact center button exist, product promting is executed through mobile based on behavoiour pattern, bacons technology is used and data captured for loyalty programme purpose, possibility to redeem loyalty points and partner discounts through mobile, proximity and location based services are exploted to increase share of wallet of bank.

Web: The look and feel of the web is very sophisticated in line with most renowed digital banks, with some multimedia gadgets: chatbots, robo-advisor, multimedia, products are presented like in an online mall. Full KYC can be done digitally almost instantaneously (for instance with a selfie and a scan of the official ID document)
The product range being offered caters for best-in-class webproducts: chat, videoassistance (through agent or vitual agent), seamless integration of call center, mobile device and personal banker, allow full customisation of webpage, predictive analysis allows to prompt specific products via robo-advisor (robo-advisor with machine learning capabilities offers targeted products based on behavioural and contextual pattern), savings and credit self-service tools, personal and home budgeting tools (PFM 2nd Generation), payments calendar available in the website with paymeny event alarms, discount of partners are intergrated in the website, gammification is also integrated in the offering, full community banking features through integration with facebook connect, the bank has community managers managing all relationships with social media, customers are actively participating in the bank's life through events and peer-advisory.

Agents: the Bank uses agents who work with digital means such as Pads/ smartphones with full functionalities",,,
distribution_and_channels_sales_function_1,There is no dedicated sales force, sales has no specific training, the sales process is not formally defined, sales force / customer facing personnel has clear incentives aligned to sales growth
distribution_and_channels_sales_function_2,There is dedicated sales team with some training, sales process is defined and sales workflow is mostly automated, incentives are aligned but not regularly adjusted, targets are in place and followed
distribution_and_channels_sales_function_3,There is dedicated sales team with specific training, sales process is defined and sales workflow is fully automated, incentives are aligned to meet targets and regularly adjusted, sales targets by channels including digital are defined and tracked
risk_management_management_and_organization_1,"There is no risk function identified in the Bank. Risks are not identified, managed or mitigated. The Bank does not appreciate the different operating risks introduced by digital banking and instead applies whatever existing models are already in place. ",,,
risk_management_management_and_organization_2,"Risk is identified as an area that needs focus, and a risk manager has been appointed. Risks are documented in a risk register, communicated to senior management and there are mitigation strategies in place for most of them. A risk management committee has been appointed, but it does not meet regularly, not does it have senior management appointed. Risk awareness is embeded at Sr. and Middle management level of the Bank ",,,
risk_management_management_and_organization_3,"The management of existing and emerging risks from digital banking is given the highest priority in the business. 
Risk registers are well developed, with management strategies for all identified risks.
The risk management committee meets regularly, with representation of all senior management in the organization. 
Risks management culture is part of a Bank-wide initiative aiming to make awareness of cyberthreats and other risks when using digital technology ",,,
risk_management_regulatory_compliance_1,"The Bank does not adhere to existing regulations in the market, or the market itself has not applied regulations to cater for digital banking. 
There is no one appointed in the organization to ensure that regulations, if in existence are complied with. 
 
",,,
risk_management_regulatory_compliance_2,"The Bank has recognized the regulations that apply to them in the market, and has used them as the basis for building processes and policies in their own organization. 
Regulatory compliance has been audited internally, and breaches where identified are addressed and remedied. 

",,,
risk_management_regulatory_compliance_3,"The Bank actively engages with the regulator to help both guide new regulation and ensure that existing regulation takes a risk-based approach to their endeavors. 
The Bank regularly conducts internal audits on regulatory compliance, and external audits have identified few if any areas of non-compliance where mitigation plans are being implemented",,,
risk_management_kyc_aml_maturity_model_1,"KYC/AML requirements are understood, and processes are in place to capture KYC information. 
The Bank does have access to AML/CFT databases, but checks are haphazard, and processes may not be robust enough to ensure that all positive matches are found. 
There is no implementation of any of the latest identification technologies that avoid identity theft such as biometric ones
 


",,,
risk_management_kyc_aml_maturity_model_2,"There are robust processes in place to ensure that KYC checks are done at customer acquisition points. Customers once activated, are validated at the Bank through checking KYC information provided by the customer. 
All customers are passed through the necessary AML/CFT databases, and any positive matches are dealt with quickly with the customer being suspended. 
The bank starts to implement some biometric technologies for customer identification but it may not be available nationwide and for all customer segments.",,,
